Start Time,End Time,Wave,Coins,Tier,Full Screenshot,Cropped Screenshot,Duration (min),Coins Per Minute
2025-10-03 08:18:07,2025-10-03 14:56:58,3149,26580000,2,,,398.8,66641.6
2025-10-03 14:56:58,2025-10-03 19:53:26,2344,13830000,2,,,296.5,46649.4
2025-10-03 19:53:26,2025-10-04 01:19:31,2767,14880000,2,,,326.1,45632.5
2025-10-04 01:29:43,2025-10-04 06:40:35,2564,12930000,2,,,310.9,41593.4
2025-10-04 06:40:35,2025-10-04 11:50:47,2483,16739999,2,,,310.2,53965.2
2025-10-06 22:16:34,2025-10-07 03:43:03,2570,15780000,2,,,326.5,48333.2
2025-10-07 03:43:04,2025-10-07 09:22:12,2670,17510000,2,,,339.1,51631.6
2025-10-07 09:22:12,2025-10-07 14:39:52,2877,12800000,2,,,317.7,40293.8
2025-10-07 14:39:52,2025-10-07 19:26:35,2490,10480000,2,,,286.7,36551.8
2025-10-07 19:26:35,2025-10-08 00:20:32,2332,16860000,2,,,294.0,57356.7
2025-10-01 21:46:14,2025-10-02 02:05:58,2057,15920000,3,,,259.7,61293.6
2025-10-02 02:05:59,2025-10-02 06:27:41,2075,14880000,3,,,261.7,56859.0
2025-10-02 06:27:41,2025-10-02 10:41:16,2006,25780000,3,,,253.6,101662.8
2025-10-02 10:41:16,2025-10-02 14:50:56,2030,20190000,3,,,249.7,80867.8
2025-10-02 14:50:56,2025-10-02 18:26:53,1714,14590000,3,,,216.0,67561.9
2025-10-02 18:26:53,2025-10-02 22:55:47,2128,15620000,3,,,268.9,58088.5
2025-10-02 22:55:47,2025-10-03 04:25:57,2608,21080000,3,,,330.2,63846.5
2025-10-03 04:25:58,2025-10-03 08:10:22,1844,17460000,3,,,224.4,77807.5
2025-10-08 08:52:52,2025-10-08 13:10:25,2039,18600000,3,,,257.6,72219.0
2025-10-08 13:10:26,2025-10-08 17:36:43,2109,13170000,3,,,266.3,49458.6
2025-09-30 02:52:02,2025-09-30 06:21:03,1881,15140000,4,,,209.0,72434.4
2025-09-30 06:21:03,2025-09-30 10:21:30,1958,16540000,4,,,240.4,68787.7
2025-09-30 10:21:31,2025-09-30 14:27:15,1940,20300000,4,,,245.7,82609.9
2025-09-30 14:27:15,2025-09-30 18:17:51,1830,18290000,4,,,230.6,79314.8
2025-09-30 18:17:51,2025-09-30 22:42:37,2093,19120000,4,,,264.8,72214.5
2025-09-30 22:42:37,2025-10-01 01:54:47,1723,23940000,4,,,192.2,124579.4
2025-10-01 01:54:47,2025-10-01 05:51:00,1952,16290000,4,,,236.2,68962.1
2025-10-01 05:51:01,2025-10-01 10:08:33,2040,18010000,4,,,257.5,69932.7
2025-10-01 10:08:33,2025-10-01 14:28:42,2055,23480000,4,,,260.2,90255.6
2025-10-01 14:28:43,2025-10-01 18:22:29,1856,16320000,4,,,233.8,69813.2
2025-11-18 08:16:14,2025-11-18 12:21:27,1955,73470000,5,,,245.2,299612.6
2025-11-18 12:21:28,2025-11-18 15:57:12,1951,56910000,5,,,215.7,263797.9
